backend,problem,circuit_type,hv_final,hv_auc
classic,Prob005_adder_bcd,combinational,0.198189845475,0.198189845475
classic,Prob007_comparator_3bit,combinational,0,0
classic,Prob008_comparator_4bit,combinational,0.361618181818,0.3525
classic,Prob009_div_16bit,combinational,0.710264088233,0.698165620389
classic,Prob011_multi_16bit,sequential,0.00452932798952,0.00226466399476
classic,Prob012_multi_8bit,combinational,0.38656854576,0.341208977835
classic,Prob015_multi_pipe_8bit,sequential,0,0
classic,Prob019_sub_64bit,combinational,0.366057017338,0.256239912137
classic,Prob020_JC_counter,sequential,0,0
classic,Prob021_counter_12,sequential,0,0
classic,Prob023_up_down_counter,sequential,0,0
classic,Prob024_fsm,combinational,0.265248670629,0.119862370973
classic,Prob025_sequence_detector,sequential,0.01413599109,0.004240797327
classic,Prob027_LIFObuffer,sequential,0.00162097144082,0.00113468000857
classic,Prob030_right_shifter,sequential,0,0
classic,Prob031_freq_div,combinational,0.0835529061103,0.0638664679583
classic,Prob035_calendar,sequential,0,0
classic,Prob036_edge_detect,sequential,0.355889724311,0.106766917293
classic,Prob037_parallel2serial,sequential,0,0
classic,Prob038_pulse_detect,sequential,0.0210287013356,0.00630861040067
classic,Prob039_serial2parallel,sequential,0,0
classic,Prob041_traffic_light,combinational,0.332617283951,0.261999273784
classic,Prob043_RAM,sequential,0.0931507556288,0.0752354863708
classic,Prob044_ROM,combinational,0,0
classic,Prob045_alu,combinational,0.239413968066,0.210295520205
classic,Prob047_instr_reg,sequential,0,0
classic,Prob048_pe,sequential,0,0
classic,Prob049_signal_generator,sequential,0.020343142189,0.0185709578335
classic,Prob050_square_wave,sequential,0.00279515172786,0.00207048939329
smooth_qd_v2,Prob001_accu,sequential,0,0
smooth_qd_v2,Prob002_adder_16bit,combinational,0.205114234284,0.205114234284
smooth_qd_v2,Prob003_adder_32bit,combinational,0.674459752503,0.674459752503
smooth_qd_v2,Prob004_adder_8bit,combinational,0.151026289181,0.135923660262
smooth_qd_v2,Prob005_adder_bcd,combinational,0.198189845475,0.198189845475
smooth_qd_v2,Prob007_comparator_3bit,combinational,0.058316843557,0.0524851592013
smooth_qd_v2,Prob008_comparator_4bit,combinational,0.361618181818,0.315996818182
smooth_qd_v2,Prob009_div_16bit,combinational,0.709682957001,0.707990550711
smooth_qd_v2,Prob011_multi_16bit,sequential,0.00492131460116,0.00105158505099
smooth_qd_v2,Prob012_multi_8bit,combinational,0.38656854576,0.347911691184
smooth_qd_v2,Prob015_multi_pipe_8bit,sequential,0,0
smooth_qd_v2,Prob019_sub_64bit,combinational,0.44993695574,0.404943260166
smooth_qd_v2,Prob020_JC_counter,sequential,0,0
smooth_qd_v2,Prob021_counter_12,sequential,0,0
smooth_qd_v2,Prob023_up_down_counter,sequential,0,0
smooth_qd_v2,Prob024_fsm,combinational,0.265248670629,0.210750703785
smooth_qd_v2,Prob025_sequence_detector,sequential,0,0
smooth_qd_v2,Prob027_LIFObuffer,sequential,0.00796670622903,0.00567743200466
smooth_qd_v2,Prob029_barrel_shifter,combinational,0.0341060025543,0.0170530012771
smooth_qd_v2,Prob030_right_shifter,sequential,0,0
smooth_qd_v2,Prob031_freq_div,combinational,0.0835529061103,0.0769907600596
smooth_qd_v2,Prob035_calendar,sequential,0,0
smooth_qd_v2,Prob036_edge_detect,sequential,0.355889724311,0.32030075188
smooth_qd_v2,Prob037_parallel2serial,sequential,0.000206033848418,2.06033848418e-05
smooth_qd_v2,Prob039_serial2parallel,sequential,0,0
smooth_qd_v2,Prob041_traffic_light,combinational,0.32599782135,0.203056136529
smooth_qd_v2,Prob043_RAM,sequential,0.0915339414061,0.0638619200335
smooth_qd_v2,Prob044_ROM,combinational,0,0
smooth_qd_v2,Prob045_alu,combinational,0.230466548394,0.217190318943
smooth_qd_v2,Prob047_instr_reg,sequential,0,0
smooth_qd_v2,Prob048_pe,sequential,0,0
smooth_qd_v2,Prob049_signal_generator,sequential,0.017136978217,0.0146421884983
smooth_qd_v2,Prob050_square_wave,sequential,0.00232780092647,0.00102351616121
