backend,problem,circuit_type,hv_final,hv_auc
classic,Prob007_comparator_3bit,combinational,0.058316843557,0.0291584217785
classic,Prob008_comparator_4bit,combinational,0.33125,0.328218939394
classic,Prob009_div_16bit,combinational,0.710191400253,0.696754765631
classic,Prob011_multi_16bit,sequential,0.0086050930127,0.00593759137427
classic,Prob012_multi_8bit,combinational,0.38656854576,0.347911691184
classic,Prob015_multi_pipe_8bit,sequential,0,0
classic,Prob019_sub_64bit,combinational,0.449958921564,0.404963029407
classic,Prob020_JC_counter,sequential,0,0
classic,Prob021_counter_12,sequential,0,0
classic,Prob023_up_down_counter,sequential,0.00978632263547,0.00872939979084
classic,Prob024_fsm,combinational,0.340631842352,0.199386925242
classic,Prob025_sequence_detector,sequential,0.0433896393181,0.0130168917954
classic,Prob027_LIFObuffer,sequential,0.0160199870691,0.0143950655337
classic,Prob030_right_shifter,sequential,0,0
classic,Prob031_freq_div,combinational,0.0835529061103,0.0704524590164
classic,Prob035_calendar,sequential,8.33737569731e-05,4.16868784866e-05
classic,Prob036_edge_detect,sequential,0.894714497354,0.410770238931
classic,Prob037_parallel2serial,sequential,0.000206033848418,0.000103016924209
classic,Prob038_pulse_detect,sequential,0.0210287013356,0.018925831202
classic,Prob039_serial2parallel,sequential,0,0
classic,Prob041_traffic_light,combinational,0.336544480755,0.213357643428
classic,Prob043_RAM,sequential,0.0911939669041,0.0814506976493
classic,Prob044_ROM,combinational,0,0
classic,Prob045_alu,combinational,0.233156574019,0.233134892568
classic,Prob047_instr_reg,sequential,0,0
classic,Prob048_pe,sequential,0,0
classic,Prob049_signal_generator,sequential,0.0169801664959,0.0129929106268
classic,Prob050_square_wave,sequential,0.0040181425223,0.0024739152
smooth_qd_v2,Prob001_accu,sequential,0,0
smooth_qd_v2,Prob002_adder_16bit,combinational,0.0645942952091,0.0645942952091
smooth_qd_v2,Prob003_adder_32bit,combinational,0.674459752503,0.674459752503
smooth_qd_v2,Prob004_adder_8bit,combinational,0.151026289181,0.151026289181
smooth_qd_v2,Prob005_adder_bcd,combinational,0.198189845475,0.198189845475
smooth_qd_v2,Prob007_comparator_3bit,combinational,0.058316843557,0.0524851592013
smooth_qd_v2,Prob008_comparator_4bit,combinational,0.331466666666,0.331306666666
smooth_qd_v2,Prob009_div_16bit,combinational,0.719903301289,0.715170605857
smooth_qd_v2,Prob011_multi_16bit,sequential,0.029923799261,0.0204435050449
smooth_qd_v2,Prob012_multi_8bit,combinational,0.38656854576,0.347911691184
smooth_qd_v2,Prob015_multi_pipe_8bit,sequential,0,0
smooth_qd_v2,Prob019_sub_64bit,combinational,0.362842268186,0.25398958773
smooth_qd_v2,Prob020_JC_counter,sequential,0,0
smooth_qd_v2,Prob021_counter_12,sequential,0.000959191379753,0.000479595689877
smooth_qd_v2,Prob023_up_down_counter,sequential,0,0
smooth_qd_v2,Prob024_fsm,combinational,0.340631842352,0.180450422271
smooth_qd_v2,Prob025_sequence_detector,sequential,0.01413599109,0.004240797327
smooth_qd_v2,Prob027_LIFObuffer,sequential,0.00871886153773,0.00311815960797
smooth_qd_v2,Prob030_right_shifter,sequential,0,0
smooth_qd_v2,Prob031_freq_div,combinational,0.0835529061103,0.0769907600596
smooth_qd_v2,Prob035_calendar,sequential,0,0
smooth_qd_v2,Prob036_edge_detect,sequential,0.355889724311,0.314341409078
smooth_qd_v2,Prob037_parallel2serial,sequential,0.000348295315182,0.000174147657591
smooth_qd_v2,Prob038_pulse_detect,sequential,0.0210287013356,0.0147200909349
smooth_qd_v2,Prob041_traffic_light,combinational,0.361154684096,0.193025635439
smooth_qd_v2,Prob043_RAM,sequential,0.0775161217748,0.0662241944757
smooth_qd_v2,Prob044_ROM,combinational,0,0
smooth_qd_v2,Prob045_alu,combinational,0.191221596688,0.167625487877
smooth_qd_v2,Prob047_instr_reg,sequential,0,0
smooth_qd_v2,Prob048_pe,sequential,0,0
smooth_qd_v2,Prob049_signal_generator,sequential,0.0169801664959,0.010505325771
smooth_qd_v2,Prob050_square_wave,sequential,0.00186045012508,0.00130231508755
