backend,benchmark,problem,circuit_type,search_mode,archive_type,descriptor_profile,generation,generation_views_available,source,candidate_id,strategy,score,quality_score,color_score,origin_pool,generated_mode,decision,inserted,replaced,cell_id,is_final_elite,area,power,eff_clk_period,tns,wns,g_A,g_P,g_T,report_path,candidate_dir,code_file_path,metrics_json_path,qd_event_path,vcd_file_path,has_qd_event,has_metrics_json,has_code_file,has_vcd_file,has_structural_metrics,has_rtl_metrics,has_graph_metrics,has_dynamic_metrics,has_physical_metrics,warning_messages,adder_ratio,always_count,arith_count,arithmetic_cells,assign_count,ast_depth_est,case_count,cell_count_log,comb_ratio,comb_width_log,combinational_cells,compare_count,control_count,control_pipeline_ratio,ctrl_depth_est,edge_per_node,ff_depth,for_count,fsm_state_count_est,hyper_cell_count,hyper_directed_edge_count,hyper_driven_net_count,hyper_fanout_entropy,hyper_max_fanout,hyper_max_level,hyper_max_level_delta,hyper_mean_fanout,hyper_net_count,hyper_sink_net_count,if_count,laplacian_lambda2,laplacian_spectral_entropy,log_edge_count,log_max_level,log_net_count,log_node_count,logic_depth,logic_depth_ltp,logic_depth_ltp_delta,logic_op_count,ltp_noff,math_op_ast_count,max_identifier_fanout,max_rhs_operator_count,mul_count,mux_cells,mux_ratio,operator_mix_score,pipeline_event_count,reconv_sink_ratio,reconv_source_ratio,rent_clamped_flag,rent_confidence,rent_exponent,rent_exponent_confidence_gated,rent_graph_node_count,rent_k,rent_r2,rent_raw_sample_count,rent_retained_sample_ratio,rent_sample_count,resource_sharing_ratio_est,rtl_char_count,rtl_cyclomatic_max_log,rtl_cyclomatic_total_log,rtl_instance_count_est,rtl_line_count,rtl_nonempty_line_count,scoap_cc0_bin_0_pct,scoap_cc0_bin_1_pct,scoap_cc0_bin_2_pct,scoap_cc0_bin_3_pct,scoap_cc1_bin_0_pct,scoap_cc1_bin_1_pct,scoap_cc1_bin_2_pct,scoap_cc1_bin_3_pct,scoap_co_bin_0_pct,scoap_co_bin_1_pct,scoap_co_bin_2_pct,scoap_co_bin_3_pct,scoap_signal_smoothness,seq_ratio,sequential_cells,share_family_inv,shift_op_count,sog_complexity_score,sog_entropy,state_control_ratio,ternary_count,timing_risk_entropy,timing_risk_score,total_cells,unique_identifier_count,utilization,wire_cell_ratio_est,wire_count_log_est
classic,RTLLM,Prob004_adder_8bit,combinational,revolution,,,2,True,generation_log,f5a85f8c-19a3-41ce-bf1d-b646a91358f3,M-E,0.38154412826809186,,0.38154412826809186,,,,False,False,,False,39.0,2.27e-05,0.0,0.0,0.0,0.15217391304347827,0.9924584717607973,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob004_adder_8bit,combinational,revolution,,,2,True,generation_log,1a750536-4848-46ec-b83f-187c49480922,M-F,0.3299003322259136,,0.3299003322259136,,,,False,False,,False,46.0,3.1e-05,0.0,0.0,0.0,0.0,0.9897009966777408,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob004_adder_8bit,combinational,revolution,,,2,True,generation_log,b8cd632a-5086-4cb6-af45-a6dc709c8a25,C-F,0.20567095189946558,,0.20567095189946558,,,,False,False,,False,63.0,4.04e-05,0.0,0.0,0.0,-0.3695652173913043,0.986578073089701,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob004_adder_8bit,combinational,revolution,,,2,True,generation_log,a7e860b9-4f25-4a43-a81d-5fd329a2cd5c,M-R,0.20567095189946558,,0.20567095189946558,,,,False,False,,False,63.0,4.04e-05,0.0,0.0,0.0,-0.3695652173913043,0.986578073089701,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob004_adder_8bit,combinational,revolution,,,2,True,generation_log,23150dc3-17ca-48b6-b8e9-92a99048ba89,M-S,0.20567095189946558,,0.20567095189946558,,,,False,False,,False,63.0,4.04e-05,0.0,0.0,0.0,-0.3695652173913043,0.986578073089701,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob004_adder_8bit,combinational,revolution,,,2,True,generation_log,de435ee1-d2db-4a2e-bc09-7a611d108429,M-E,0.14599451105012282,,0.14599451105012282,,,,False,False,,False,71.0,5.58e-05,0.0,0.0,0.0,-0.5434782608695652,0.9814617940199336,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob004_adder_8bit,combinational,revolution,,,2,True,generation_log,49d33079-469e-46a2-92d2-44d55dcf65c1,M-I,0.19046944966055177,,0.19046944966055177,,,,False,False,,False,65.0,4.68e-05,0.0,0.0,0.0,-0.41304347826086957,0.9844518272425249,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob004_adder_8bit,combinational,revolution,,,2,True,generation_log,e0305588-2746-4f1e-9feb-0804148e7e0f,M-S,0.20567095189946558,,0.20567095189946558,,,,False,False,,False,63.0,4.04e-05,0.0,0.0,0.0,-0.3695652173913043,0.986578073089701,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob004_adder_8bit,combinational,revolution,,,2,True,generation_log,842e8937-cd88-421e-966d-86a41f22471d,C-F,0.38154412826809186,,0.38154412826809186,,,,False,False,,False,39.0,2.27e-05,0.0,0.0,0.0,0.15217391304347827,0.9924584717607973,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob004_adder_8bit,combinational,revolution,,,3,True,generation_log,618cd626-e577-4492-bfca-c0d448ed8df9,M-E,0.19046944966055177,,0.19046944966055177,,,,False,False,,False,65.0,4.68e-05,0.0,0.0,0.0,-0.41304347826086957,0.9844518272425249,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob004_adder_8bit,combinational,revolution,,,3,True,generation_log,9854ee07-dfd8-4a8d-8f18-eb13a3bb2ffa,C-F,0.38154412826809186,,0.38154412826809186,,,,False,False,,False,39.0,2.27e-05,0.0,0.0,0.0,0.15217391304347827,0.9924584717607973,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob004_adder_8bit,combinational,revolution,,,3,True,generation_log,a85d7b15-fb8b-4ec7-9ef7-170fed6cbc06,M-I,0.20567095189946558,,0.20567095189946558,,,,False,False,,False,63.0,4.04e-05,0.0,0.0,0.0,-0.3695652173913043,0.986578073089701,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob004_adder_8bit,combinational,revolution,,,3,True,generation_log,e101c296-eb8a-4685-932b-5ee2ca8f0107,M-R,0.3299003322259136,,0.3299003322259136,,,,False,False,,False,46.0,3.1e-05,0.0,0.0,0.0,0.0,0.9897009966777408,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob004_adder_8bit,combinational,revolution,,,3,True,generation_log,9440094b-60aa-4f83-b0d6-4d3b3672af3c,M-I,0.3299003322259136,,0.3299003322259136,,,,False,False,,False,46.0,3.1e-05,0.0,0.0,0.0,0.0,0.9897009966777408,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob004_adder_8bit,combinational,revolution,,,3,True,generation_log,e8e5a2fa-01e2-4430-bd0a-55e4801a2753,M-S,0.20567095189946558,,0.20567095189946558,,,,False,False,,False,63.0,4.04e-05,0.0,0.0,0.0,-0.3695652173913043,0.986578073089701,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob004_adder_8bit,combinational,revolution,,,3,True,generation_log,251bd7eb-1acd-456f-8d28-da250eb5c861,M-I,0.20567095189946558,,0.20567095189946558,,,,False,False,,False,63.0,4.04e-05,0.0,0.0,0.0,-0.3695652173913043,0.986578073089701,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob004_adder_8bit,combinational,revolution,,,3,True,generation_log,f3b726bf-f049-4696-bb1e-1bbdaffbe701,M-E,0.24246762001059272,,0.24246762001059272,,,,False,False,,False,58.0,3.53e-05,0.0,0.0,0.0,-0.2608695652173913,0.9882724252491695,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob004_adder_8bit,combinational,revolution,,,3,True,generation_log,9903e628-54bc-4b80-8553-267d36b68378,M-I,0.20567095189946558,,0.20567095189946558,,,,False,False,,False,63.0,4.04e-05,0.0,0.0,0.0,-0.3695652173913043,0.986578073089701,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,0,True,generation_log,8c8d45b4-ffda-4ff4-b266-4d95c4efc131,initial,-0.23410872306986774,,-0.23410872306986774,,,,False,False,,False,1070.0,0.172,0.5700000000000001,-33.59,-0.56,-0.09183673469387756,-0.9153674832962135,0.3048780487804878,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,0,True,generation_log,1b687041-a196-4103-8d69-90e040d36bde,initial,0.09704161636407514,,0.09704161636407514,,,,False,False,,False,661.0,0.0677,1.05,-15.84,-1.04,0.32551020408163267,0.2461024498886415,-0.28048780487804875,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,0,True,generation_log,0a91fd10-c73b-4b91-92c8-b99b7030847f,initial,-0.23986149188340655,,-0.23986149188340655,,,,False,False,,False,1076.0,0.173,0.5700000000000001,-33.71,-0.56,-0.09795918367346938,-0.9265033407572381,0.3048780487804878,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,0,True,generation_log,6e4959ba-1caf-49a1-ad39-c3a9fbffefcf,initial,0.05279453299055512,,0.05279453299055512,,,,False,False,,False,600.0,0.0874,1.03,-15.36,-1.02,0.3877551020408163,0.026726057906458787,-0.2560975609756097,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,1,True,generation_log,e0bfe7b0-98d6-415d-abd8-fe227cfcc2d5,M-F,-0.07596036839419344,,-0.07596036839419344,,,,False,False,,False,708.0,0.11,1.05,-17.1,-1.04,0.27755102040816326,-0.22494432071269482,-0.28048780487804875,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,1,True,generation_log,4b5f33a6-29fa-426b-a9dc-f9e377b8c43c,M-E,-0.24933984892778338,,-0.24933984892778338,,,,False,False,,False,974.0,0.14,0.98,-26.18,-0.97,0.006122448979591836,-0.5590200445434299,-0.1951219512195121,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,1,True,generation_log,7cab530c-1c91-40ce-a864-4a4725faf556,C-F,0.04819385519431311,,0.04819385519431311,,,,False,False,,False,660.0,0.07,1.15,-16.36,-1.14,0.32653061224489793,0.22048997772828505,-0.4024390243902437,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,2,True,generation_log,11ec6904-c86c-4262-afd0-a492880f2149,M-F,0.13523010594862098,,0.13523010594862098,,,,False,False,,False,696.0,0.0553,1.04,-13.67,-1.03,0.2897959183673469,0.3841870824053452,-0.26829268292682923,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,2,True,generation_log,2ca60989-10ff-49dd-99f9-55172b86cd4d,M-F,-0.17909176707784527,,-0.17909176707784527,,,,False,False,,False,1483.0,0.127,0.5,-44.91,-0.49,-0.513265306122449,-0.4142538975501113,0.39024390243902446,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,3,True,generation_log,b380eeef-71f9-47b6-a8f0-855d05d1844c,C-F,0.045999387315358575,,0.045999387315358575,,,,False,False,,False,1170.0,0.0819,0.62,-34.19,-0.61,-0.19387755102040816,0.08797327394209359,0.2439024390243903,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,3,True,generation_log,fc795a99-afad-4a35-ab9a-8d723eb83ff2,M-R,-0.07596036839419344,,-0.07596036839419344,,,,False,False,,False,708.0,0.11,1.05,-17.1,-1.04,0.27755102040816326,-0.22494432071269482,-0.28048780487804875,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,3,True,generation_log,b1470ebe-6743-46ed-bf17-ef9a1fcd9112,M-R,-0.17909176707784527,,-0.17909176707784527,,,,False,False,,False,1483.0,0.127,0.5,-44.91,-0.49,-0.513265306122449,-0.4142538975501113,0.39024390243902446,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,3,True,generation_log,3c130930-a8bc-4dc2-ac98-de28ea9e3cf2,M-E,-0.2887496614159814,,-0.2887496614159814,,,,False,False,,False,1478.0,0.157,0.5,-46.88,-0.49,-0.5081632653061224,-0.7483296213808462,0.39024390243902446,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob024_fsm,combinational,revolution,,,0,True,generation_log,2a6ebec4-843b-4ba4-8964-3f813c654bc9,initial,0.3537389219059535,,0.3537389219059535,,,,False,False,,False,35.0,0.00631,0.27,-0.69,-0.26,0.2391304347826087,0.0920863309352518,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob024_fsm,combinational,revolution,,,0,True,generation_log,05cbedcd-558f-4cbc-ae71-0203936083ae,initial,0.46959128349494317,,0.46959128349494317,,,,False,False,,False,29.0,0.00494,0.25,-0.67,-0.24,0.3695652173913043,0.2892086330935251,,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
